nombre,categoria,proveedor,precioVenta,stock,stockMinimo
Alfajor Jorgito Chocolate,Golosinas,Distribuidora Norte,900,8,
Alfajor Guaymallén Simple,Golosinas,Arcor,650,,
Alfajor Milka Oreo,Golosinas,Mondelez,1600,,
Alfajor Águila Negro,Golosinas,Mondelez,1400,,
Alfajor Terrabusi Doble,Golosinas,Mondelez,1500,,
Alfajor Fantoche Triple,Golosinas,Arcor,1300,,
Alfajor Tofi Clásico,Golosinas,Arcor,1200,,
Chocolate Milka Leche 100g,Golosinas,Mondelez,3200,,
Chocolate Cofler Aireado 100g,Golosinas,Arcor,2900,,
Chocolate Block 100g,Golosinas,Arcor,2800,,
Kinder Bueno 43g,Golosinas,Distribuidora Norte,2200,,
Chocolate Shot 100g,Golosinas,Arcor,2600,,
Rhodesia 27g,Golosinas,Arcor,900,,
Bon o Bon Unidad,Golosinas,Arcor,600,,
Oblea Ópera,Golosinas,Arcor,700,,
Chupetín Pico Dulce,Golosinas,Arcor,400,,
Chicle Beldent Menta,Golosinas,Mondelez,900,,
Chicle Topline Menta,Golosinas,Mondelez,950,,
Caramelos Sugus Surtidos 30u,Golosinas,Mondelez,2100,,
Caramelos Flynn Paff 400g,Golosinas,Arcor,3800,,
Caramelos Media Hora 300g,Golosinas,Arcor,2600,,
Pastillas Menthoplus Miel,Golosinas,Distribuidora Norte,850,,
Pastillas Tic Tac Menta,Golosinas,Distribuidora Norte,1400,,
Turrón Arcor 25g,Golosinas,Arcor,550,,
Yerba Taragüí 1kg,Almacén,Establecimiento Las Marías,4900,,
Yerba Rosamonte 1kg,Almacén,Distribuidora Norte,4700,,
Yerba Playadito 1kg,Almacén,Distribuidora Norte,4600,5,
Yerba CBSé Hierbas 500g,Almacén,Distribuidora Norte,2800,,
Yerba La Merced Despalada 1kg,Almacén,Distribuidora Norte,5100,,
Azúcar Ledesma 1kg,Almacén,Distribuidora Norte,1900,,
Sal Fina Celusal 500g,Almacén,Distribuidora Norte,900,,
Harina 0000 Blancaflor 1kg,Almacén,Molinos Río de la Plata,1600,,
Harina Leudante Pureza 1kg,Almacén,Molinos Río de la Plata,1700,,
Fideos Matarazzo Tirabuzón 500g,Almacén,Molinos Río de la Plata,1500,,
Fideos Lucchetti Spaghetti 500g,Almacén,Molinos Río de la Plata,1500,,
Arroz Gallo Oro 1kg,Almacén,Molinos Río de la Plata,2600,,
Aceite Cocinero Girasol 1.5L,Almacén,Molinos Río de la Plata,4200,,
Aceite Natura Girasol 900ml,Almacén,Molinos Río de la Plata,2900,,
Puré de Tomate Arcor 520g,Almacén,Arcor,1400,,
Arvejas La Campagnola 300g,Almacén,Arcor,1500,,
Atún La Campagnola 170g,Almacén,Arcor,3200,,
Mayonesa Hellmann's 500g,Almacén,Unilever,3100,,
Ketchup Hellmann's 500g,Almacén,Unilever,2900,,
Café La Virginia 250g,Almacén,Distribuidora Norte,4800,,
Nescafé Clásico 170g,Almacén,Distribuidora Norte,7200,,
Té Taragüí 25 saquitos,Almacén,Establecimiento Las Marías,1900,,
Mate Cocido La Virginia 25 saquitos,Almacén,Distribuidora Norte,2000,,
Galletitas Criollitas 100g,Almacén,Mondelez,1300,,
Galletitas Traviata 100g,Almacén,Mondelez,1300,,
Galletitas Chocolinas 170g,Almacén,Mondelez,2400,,
Galletitas Rex 100g,Almacén,Mondelez,1200,,
Dulce de Leche La Serenísima 400g,Almacén,La Serenísima,3200,,
Mermelada Arcor Durazno 390g,Almacén,Arcor,2400,,
Cacao Nesquik 400g,Almacén,Distribuidora Norte,4600,,
Leche La Serenísima Sachet 1L,Lácteos,La Serenísima,1500,6,
Leche La Serenísima Larga Vida 1L,Lácteos,La Serenísima,1800,,
Leche Sancor Sachet 1L,Lácteos,Distribuidora Norte,1450,,
Yogur Ser Bebible Frutilla 900g,Lácteos,La Serenísima,2900,,
Yogur Yogurísimo Firme 190g,Lácteos,La Serenísima,1100,,
Queso Cremoso La Paulina 300g,Lácteos,Distribuidora Norte,4200,,
Queso Rallado La Serenísima 120g,Lácteos,La Serenísima,1900,,
Manteca La Serenísima 200g,Lácteos,La Serenísima,2600,,
Crema de Leche La Serenísima 200g,Lácteos,La Serenísima,2100,,
Huevos Blancos Docena,Lácteos,Distribuidora Norte,3200,,
Dulce de Leche Repostero 1kg,Lácteos,La Serenísima,6800,,
Flan La Serenísima Vainilla 120g,Lácteos,La Serenísima,1300,,
Lavandina Ayudín 1L,Limpieza,Distribuidora Norte,1950,,
Lavandina Ayudín 2L,Limpieza,Distribuidora Norte,3200,,
Detergente Magistral Limón 750ml,Limpieza,Procter & Gamble,2800,6,
Detergente Ala 750ml,Limpieza,Unilever,2400,,
Jabón en Polvo Skip 800g,Limpieza,Unilever,4200,,
Jabón en Polvo Ariel 800g,Limpieza,Procter & Gamble,4600,,
Jabón en Polvo Ala 800g,Limpieza,Unilever,3400,,
Jabón Blanco Federal 200g,Limpieza,Distribuidora Norte,800,,
Suavizante Vivere 900ml,Limpieza,Unilever,3100,,
Papel Higiénico Higienol 4u,Limpieza,Distribuidora Norte,3600,,
Papel Higiénico Elite 4u,Limpieza,Distribuidora Norte,3900,,
Rollo de Cocina Sussex 3u,Limpieza,Distribuidora Norte,3400,,
Servilletas Elite 100u,Limpieza,Distribuidora Norte,1600,,
Desodorante de Ambiente Poett 360ml,Limpieza,Distribuidora Norte,2900,,
Limpiador Cif Crema 750ml,Limpieza,Unilever,3200,,
Limpiador Mr Músculo Baño 500ml,Limpieza,Distribuidora Norte,3000,,
Insecticida Raid Mata Moscas 360ml,Limpieza,Distribuidora Norte,4200,,
Lustramuebles Blem 360ml,Limpieza,Distribuidora Norte,3300,,
Esponja Doble Uso Mortimer,Limpieza,Distribuidora Norte,700,,
Bolsas de Residuo 45x60 10u,Limpieza,Distribuidora Norte,1900,,
Trapo de Piso Rejilla,Limpieza,Distribuidora Norte,1200,,
Virulana Metálica 3u,Limpieza,Distribuidora Norte,900,,
Shampoo Sedal 340ml,Perfumería,Unilever,5600,4,
Shampoo Plusbelle 900ml,Perfumería,Distribuidora Norte,3800,,
Shampoo Head & Shoulders 375ml,Perfumería,Procter & Gamble,6800,,
Acondicionador Sedal 340ml,Perfumería,Unilever,5600,,
Jabón de Tocador Dove 90g,Perfumería,Unilever,1600,,
Jabón de Tocador Lux 125g,Perfumería,Unilever,1200,,
Desodorante Rexona Aerosol 150ml,Perfumería,Unilever,4200,,
Desodorante Axe Aerosol 150ml,Perfumería,Unilever,4600,,
Pasta Dental Colgate Triple Acción 90g,Perfumería,Colgate-Palmolive,2400,,
Cepillo Dental Colgate,Perfumería,Colgate-Palmolive,1800,,
Algodón Estrella 100g,Perfumería,Distribuidora Norte,1900,,
Cotonetes 100u,Perfumería,Distribuidora Norte,1400,,
Toallitas Femeninas Always 8u,Perfumería,Procter & Gamble,2600,,
Pañales Pampers Confort Sec M 30u,Perfumería,Procter & Gamble,12800,3,
Pañales Babysec Ultra G 30u,Perfumería,Distribuidora Norte,11200,,
Preservativos Prime 3u,Perfumería,Distribuidora Norte,2900,,
Alcohol en Gel 250ml,Perfumería,Mayorista Sur,2400,,
Alcohol 70% 250ml,Perfumería,Mayorista Sur,1900,,
Pilas Duracell AA x2,Kiosco,Distribuidora Norte,3200,,
Pilas Duracell AAA x2,Kiosco,Distribuidora Norte,3200,,
Encendedor Bic,Kiosco,Distribuidora Norte,1500,,
Fósforos Tres Patitos 3u,Kiosco,Distribuidora Norte,700,,
Pañuelos Descartables Kleenex 10u,Kiosco,Kimberly-Clark,1300,,
Velas Larga Duración 6u,Kiosco,Distribuidora Norte,1400,,
